id_registro,fecha,anio,mes,trimestre,region,canal,categoria,producto,unidades_vendidas,precio_unitario,descuento_pct,venta_bruta,venta_neta,meta_unidades,cumplimiento_meta
2,2023-01-02,2023,1,Q1,Costa,Autoservicios,Tocino,Tocino Ahumado 250g,40,2.95,0.0,118.0,118.0,40,1
14,2023-01-02,2023,1,Q1,Sierra,Supermercados,Mortadelas,Mortadela Bologna 500g,75,3.6,0.0,270.0,270.0,93,0
45,2023-01-02,2023,1,Q1,Costa,Supermercados,Nuggets,Nuggets Pollo 500g,79,5.1,0.05,402.9,382.75,93,0
37,2023-01-02,2023,1,Q1,Sierra,Canal Tradicional,Chorizos,Chorizo Ahumado 400g,59,4.2,0.1,247.8,223.02,58,1
9,2023-01-02,2023,1,Q1,Sierra,Food Service,Tocino,Tocino Ahumado 250g,66,2.95,0.05,194.7,184.96,70,0
6,2023-01-04,2023,1,Q1,Costa,Food Service,Mortadelas,Mortadela Bologna 500g,68,3.6,0.0,244.8,244.8,70,0
36,2023-01-04,2023,1,Q1,Sierra,Supermercados,Chorizos,Chorizo Ahumado 400g,82,4.2,0.0,344.4,344.4,93,0
39,2023-01-05,2023,1,Q1,Sierra,Supermercados,Jamones,Jamón Familiar 500g,81,4.1,0.0,332.1,332.1,93,0
18,2023-01-05,2023,1,Q1,Sierra,Canal Tradicional,Tocino,Tocino Laminado 200g,60,2.6,0.0,156.0,156.0,58,1
12,2023-01-06,2023,1,Q1,Sierra,Autoservicios,Nuggets,Nuggets Pollo 500g,39,5.1,0.05,198.9,188.95,40,0
19,2023-01-06,2023,1,Q1,Sierra,Supermercados,Salchichas,Salchicha Vienesa 500g,85,3.25,0.0,276.25,276.25,93,0
11,2023-01-07,2023,1,Q1,Costa,Canal Tradicional,Mortadelas,Mortadela Bologna 500g,55,3.6,0.0,198.0,198.0,58,0
33,2023-01-08,2023,1,Q1,Costa,Supermercados,Salchichas,Salchicha Cocktail 250g,93,1.85,0.05,172.05,163.45,93,1
5,2023-01-09,2023,1,Q1,Oriente,Autoservicios,Jamones,Jamón Pollo 400g,39,3.8,0.0,148.2,148.2,40,0
34,2023-01-09,2023,1,Q1,Costa,Supermercados,Mortadelas,Mortadela Bologna 500g,83,3.6,0.0,298.8,298.8,93,0
17,2023-01-09,2023,1,Q1,Sierra,Supermercados,Jamones,Jamón Pollo 400g,84,3.8,0.0,319.2,319.2,93,0
44,2023-01-10,2023,1,Q1,Sierra,Supermercados,Nuggets,Nuggets Res 400g,90,5.4,0.0,486.0,486.0,93,0
38,2023-01-11,2023,1,Q1,Sierra,Food Service,Salchichas,Salchicha Vienesa 500g,56,3.25,0.0,182.0,182.0,70,0
26,2023-01-12,2023,1,Q1,Oriente,Canal Tradicional,Chorizos,Chorizo Parrillero 500g,59,4.5,0.0,265.5,265.5,58,1
42,2023-01-13,2023,1,Q1,Sierra,Supermercados,Chorizos,Chorizo Ahumado 400g,95,4.2,0.0,399.0,399.0,93,1
10,2023-01-13,2023,1,Q1,Sierra,Autoservicios,Salchichas,Salchicha Vienesa 500g,43,3.25,0.1,139.75,125.78,40,1
22,2023-01-14,2023,1,Q1,Oriente,Autoservicios,Nuggets,Nuggets Res 400g,40,5.4,0.0,216.0,216.0,40,1
20,2023-01-15,2023,1,Q1,Sierra,Canal Tradicional,Salchichas,Salchicha Frankfurter 400g,50,2.9,0.0,145.0,145.0,58,0
24,2023-01-17,2023,1,Q1,Costa,Food Service,Nuggets,Nuggets Res 400g,60,5.4,0.05,324.0,307.8,70,0
25,2023-01-17,2023,1,Q1,Sierra,Supermercados,Jamones,Jamón Pollo 400g,88,3.8,0.1,334.4,300.96,93,0
